Title,Category,Image,Minimum Profitable Price,Listed Price
Gopro ,accessories,https://m.media-amazon.com/images/I/6139nZquCaL._AC_SL1200_.jpg,68.32,83.33
Aldo Laptop Bag,accessories,https://media.aldoshoes.com/v3/product/tet/410-002-009/tet_blue_410-002-009_main_sq_gy_1000x1000.jpg,109.83,183.32
Women's Handbag,accessories,https://i5.walmartimages.com/asr/adaa1c59-123f-4c44-a201-17a55063df53.84c756d25fb5605653a299c99659a570.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,5.42,8.33
Korean Earrings,accessories,https://m.media-amazon.com/images/I/41oePDUujiL._AC_UL320_.jpg,4.15,6.65
Multicolor Mala,accessories,https://m.media-amazon.com/images/I/41+-uvOzpFL._AC_UL320_.jpg,30.83,38.33
Women's Handbag,accessories,https://m.media-amazon.com/images/I/61G-2jPzxeL._AC_UL320_.jpg,5.42,8.33
Caprese Tiffany,accessories,https://m.media-amazon.com/images/I/51UudFx1SML._AC_UL320_.jpg,29.42,58.32
Mark jacobs Tote Bag,accessories,https://cdn.media.amplience.net/i/Marc_Jacobs/MJI_M0017027_263_F8F8F8_1-1_MAIN?fmt=auto&sm=aspect&aspect=6:5&w=708&qlt=68&img404=NOIMAGEMEDIUM_1-1&unsharp=0%2C1%2C1%2C20,250,300
Aldo Agrendadia,accessories,https://m.media-amazon.com/images/I/81j6UHlzRbL._AC_UL320_.jpg,68.18,116.65
Reebok Men's Shoes,bags & luggage,https://reebok.ca/cdn/shop/products/100034259B2240_0a05f406-177f-4c99-a1b5-cd448d27aa18.jpg?v=1692724467,17.5,22.5
Laptop Backpack,bags & luggage,https://m.media-amazon.com/images/I/314nr0D4uzL._AC_UL320_.jpg,7.5,10.83
Sony Headphones,men's shoes,"https://hips.hearstapps.com/hmg-prod/images/0317-headphones-1584470818.png?crop=0.5xw:1xh;center,top&resize=640:*",399,450
Rs-Z Bp(Size 9),men's shoes,https://m.media-amazon.com/images/I/51u1lkaawLL._AC_UL320_.jpg,116.65,166.65
Sneaker Lace-Up,men's shoes,https://m.media-amazon.com/images/I/61TfC7j8POL._AC_UL320_.jpg,24.17,41.67
Men Casual Shoe,men's shoes,https://m.media-amazon.com/images/I/61uuV+5WTuL._AC_UL320_.jpg,4.98,8.32
Nike Casual Shoe,men's shoes,https://m.media-amazon.com/images/I/71WgosSFIfL._AC_UL320_.jpg,16.11,28.32
Black Cat Men's,men's shoes,https://m.media-amazon.com/images/I/61XdcY+UDgL._AC_UL320_.jpg,14.42,16.65
117Formal Shoes,men's shoes,https://m.media-amazon.com/images/I/710vOeF9nDL._AC_UL320_.jpg,9.98,16.65
Navy Blue Shoes,men's shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31zdF-UoeoL._AC_UL320_.jpg,7.48,9.98
Leather Sandals,men's shoes,https://m.media-amazon.com/images/I/318DpaY87eL._AC_UL320_.jpg,12.48,21.65
Nike Men Shorts,sports & fitness,https://m.media-amazon.com/images/I/41NamWhklkL._AC_UL320_.jpg,15.48,29.92
Puma Unisex Cap,sports & fitness,https://m.media-amazon.com/images/I/91wZp++pizL._AC_UL320_.jpg,12.65,16.65
Adidas Yoga Mat,sports & fitness,https://m.media-amazon.com/images/I/516Uj5MomXL.jpg,34.98,46.65
Camera + Gimbal,tv,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Oy6hEudbL._AC_UL320_.jpg,1099.82,1549.83
Max Men Joggers,sports & fitness,https://m.media-amazon.com/images/I/61fA1NYLVGL._AC_UL320_.jpg,10.48,11.65
Alfa Awus036Acs,tv,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51jVwVyGITL._AC_UL320_.jpg,75.98,108.32
Nike Men Shorts,sports & fitness,https://m.media-amazon.com/images/I/510I4oDsZYL._AC_UL320_.jpg,12.98,24.92
Puma Unisex Cap,sports & fitness,https://m.media-amazon.com/images/I/91wZp++pizL._AC_UL320_.jpg,12.65,16.65
Nike Men Shorts 2,sports & fitness,https://m.media-amazon.com/images/I/51HC2-jysNL._AC_UL320_.jpg,21.98,39.92
Puma Unisex Cap,sports & fitness,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61T+2niiF-L._AC_UL320_.jpg,13.32,16.65
Puma Unisex Cap,sports & fitness,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PZ6m4OrrL._AC_UL320_.jpg,10.48,11.65
Max Boys Jacket,kids' fashion,https://m.media-amazon.com/images/I/612isKiehmL._AC_UL320_.jpg,4.65,5.82
Baby Girl Dress,kids' fashion,https://m.media-amazon.com/images/I/31vr8FqZeKL._AC_UL320_.jpg,13.32,14.98
Max Boys Tshirt,kids' fashion,https://m.media-amazon.com/images/I/81KerlHklXS._AC_UL320_.jpg,2.32,3.32
School Uniforms,kids' fashion,https://m.media-amazon.com/images/I/41+b0ExO9JL._AC_UL320_.jpg,11.48,16.65
Ida Backpack,kids' fashion,https://m.media-amazon.com/images/I/61vj1PJSFKL._AC_UL320_.jpg,104.98,149.98
Emilia Backpack,kids' fashion,https://m.media-amazon.com/images/I/51XSPz8b2CL._AC_UL320_.jpg,91.65,149.98
Camera + Gimbal,tv audio & cameras,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Oy6hEudbL._AC_UL320_.jpg,1099.82,1549.83
Alfa Awus036Acs,tv audio & cameras,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51jVwVyGITL._AC_UL320_.jpg,75.98,108.32
